product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P001;lapte zuzu;lactate;Zuzu;1;l;13.00;RON
P004;iaurt grecesc;lactate;Proxi;0.4;kg;11.40;RON
P007;ouă mărimea M;ouă;Din Ogradă;10;buc;12.50;RON
P010;brânză telemea;lactate;Proxi;0.3;kg;12.70;RON
P013;pâine albă;panificație;Proxi;500;g;3.60;RON
P016;roșii cherry;legume și fructe;Generic;250;g;8.70;RON
P019;piept pui;carne;Avicola;1;kg;26.80;RON
P020;spaghetti nr.5;paste făinoase;Barilla;500;g;5.90;RON
P023;zahăr tos;alimente de bază;Proxi;1;kg;4.50;RON
P024;apă plată;băuturi;Aqua Carpatica;2;l;5.30;RON
